latitud,longitud,radio_error,n_gruas,direccion,num,cp,provincia,comunidad,pais,uso1,uso2,obra_nueva
41.2166647,1.7321875,,,Placa de Cal Xixu,,08800,Vilanova i la Geltru,Catalonia,ES,residencial,residencial,1
41.4243831,2.2208173,,,Carretera la catalana,,08930,Sant Adria de Besos,Catalonia,ES,residencial,residencial,1
41.4229164,2.2243171,,,Avinguda La Catalana,,08930,Sant Adria de Besos,Catalonia,ES,residencial,residencial,1
41.4238042078,2.2213915963,,,Carretera la catalana,,08930,Sant Adria de Besos,Catalonia,ES,residencial,residencial,1
41.4239197,2.2197037,,,carrer de Clara Campoamor,,08930,Sant Adria de Besos,Catalonia,ES,residencial,residencial,1
41.4177496,2.2242396,,,carrer de Rosalia de Castro,,08930,Sant Adria de Besos,Catalonia,ES,residencial,residencial,1
41.4266842,2.2089153,,,Avinguda del ferrocarril,,08020,Sant Adria de Besos,Catalonia,ES,residencial,residencial,1
41.342258307,1.6960435708,,,Carrer de la Soledat,,08720,Vilafranca del Penedes,Catalonia,ES,residencial,residencial,1
41.3370780945,1.7015399933,,,Rambla de la Generalitat,,08720,Vilafranca del Penedes,Catalonia,ES,residencial,residencial,1
41.3473688,1.7035738,,,Carrer Pere Alegret,,08720,Vilafranca del Penedes,Catalonia,ES,residencial,residencial,1
41.4172261,2.223244,,,Rambla de La Mina,,08930,Sant Adria de Besos,Catalonia,ES,residencial,residencial,1
41.3399408946,1.7061390144,,,Passatge del Noucentisme,,08720,Vilafranca del Penedes,Catalonia,ES,residencial,residencial,1
41.3459859,1.6966644,,,Carrer del General Prim,,08720,Vilafranca del Penedes,Catalonia,ES,residencial,residencial,1
41.338650628,1.7056128708,,,Passatge del Noucentisme,,08720,Vilafranca del Penedes,Catalonia,ES,residencial,residencial,1
41.3395038,1.7062201,,,Placa de les Arts,,08720,Vilafranca del Penedes,Catalonia,ES,residencial,residencial,1
41.3353192047,1.7002977302,,,Carrer dels Xicots de Vilafranca,,08720,Vilafranca del Penedes,Catalonia,ES,residencial,residencial,1
41.6779708862,1.8472900391,,,Carrer de Joan Verdaguer,,08295,Castellgali,Catalonia,ES,residencial,residencial,1
41.6218261719,1.8659760952,,,Carrer de la Bauma,,08296,Castellbell i el Vilar,Catalonia,ES,residencial,residencial,1
41.6697387695,1.8574299812,,,Carrer de Vallhonesta,,08295,Sant Vicenc de Castellet,Catalonia,ES,residencial,residencial,1
41.3209835,2.0267171,,,Carrer del Pintor Fortuny,,08840,Viladecans,Catalonia,ES,residencial,residencial,1
41.3535588025,1.7796782208,,,Placa d'Anselm Clave,,,Avinyonet del Penedes,Catalonia,ES,residencial,residencial,1
41.3182411194,2.0258100033,,,Carrer de Rafael Casanova,,08840,Viladecans,Catalonia,ES,residencial,residencial,1
41.3166809082,2.0261800289,,,Carrer de Joan Fiveller,,08840,Viladecans,Catalonia,ES,residencial,residencial,1
41.6715087891,1.8656899929,,,Carrer de Rafael de Casanova,,08295,Sant Vicenc de Castellet,Catalonia,ES,residencial,residencial,1
41.6655693054,1.8668400049,,,Carrer del Bages,,08295,Sant Vicenc de Castellet,Catalonia,ES,residencial,residencial,1
41.3190509,2.017741,,,Carrer de Sant Maria,,08840,Viladecans,Catalonia,ES,residencial,residencial,1
41.3187858,2.0237752,,,Carrer Ausias Marc,,08840,Viladecans,Catalonia,ES,residencial,residencial,1
41.319813,2.0257559,,,,,08840,Viladecans,Catalonia,ES,residencial,residencial,1
41.3156328,2.02508,,,Carrer de Granada,,08840,Viladecans,Catalonia,ES,residencial,residencial,1
41.3147119,2.0156193,,,Carrer del Torrent,,08840,Viladecans,Catalonia,ES,residencial,residencial,1
41.7379655,1.8278144,,,Carrer de la Concordia,,08240,Manresa,Catalonia,ES,residencial,residencial,1
41.6014541,2.6229008,,,Carrer Abat Deas,,08395,Sant Pol de Mar,Catalonia,ES,residencial,residencial,1
41.6029826568,2.6232682209,,,Carrer Buenos Aires,,08395,Sant Pol de Mar,Catalonia,ES,residencial,residencial,1
41.7411994934,1.8269599676,,,Eix Transversal,,08240,Manresa,Catalonia,ES,residencial,residencial,1
41.6026,2.62365,,,Carrer Bonavista,,08395,Sant Pol de Mar,Catalonia,ES,residencial,residencial,1
41.7213516235,1.8337099552,,,Carrer Nou de Santa Clara,,08241,Manresa,Catalonia,ES,residencial,residencial,1
41.7220420837,1.8241699934,,,9 Jutjats,,08240,Manresa,Catalonia,ES,residencial,residencial,1
41.2364783846,1.7973630581,,,Carrer de l'escriptor Josep Roig i Raventos,,08870,Sitges,Catalonia,ES,residencial,residencial,1
41.23675,1.793111,,,Carrer de Joaquim Figueres i Dobal,,08870,Sitges,Catalonia,ES,residencial,residencial,1
41.2496778039,1.8017339788,,,Avinguda de Miquel Utrillo,,08870,Sitges,Catalonia,ES,residencial,residencial,1
